title,price,item_url,source_list_url
Shop on eBay,$479.99,,https://www.ebay.com/b/Laptops-Netbooks/175672
Shop on eBay,$479.99,,https://www.ebay.com/b/Laptops-Netbooks/175672
"ASUS - Zenbook A16 16"" 3K OLED Touchscreen Laptop - Snapdragon X2 Elite Extre...","$1,499.99",https://www.ebay.com/itm/206334636536?itmmeta=01KZTGPFJVE6QCTT8MJXQ5C324&hash=item300a80b1f8:g:a7UAAeSw1clqdzMv&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Lur7yvQIunQjpq7UITjBxXG7ro1%2FImMiPgf5KAW2nIvvzfU5jdDB7i3DEmfLSNrdemyiDj37nDYUlVNNS9R%2FD1w4xFwNVDzKbALXwEncAvcSqYjfokgXdVnJY%2FqZVcfO4OZXYaFGLaIhZGrXBkqNZkclfWdbipzh1Necm4ADY3MgP8yF7KXScsDkZkpBP2GXMX8hTVuVAlAcGwOpQ0OlNVkA3cySu%2FO%2BnaRCaz%2F5u5mvNyLAFxbQYySwk7%2FRB7lmgGZslpMKoh8oWAcL%2B7VEPzcQ%7Ctkp%3ABk9SR8r52dD-Zw,https://www.ebay.com/b/Laptops-Netbooks/175672
"Dell Latitude 3410 Laptop 14"" Windows 11 Pro Intel Core i3 16GB RAM 256GB SSD",$216.62,https://www.ebay.com/itm/254582474636?itmmeta=01KZTGPFJV11NWX7KX4W3CZNGE&hash=item3b464c478c:g:oRQAAeSwRTtqWcSd&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqHw%2Ff9WewWFlSIfGs7meH2CNu60xWKP0IRELTmKnYO4TeOKFCz2WSUmKFfAR6qa6lYlqxvR75OPqHg3MvpGTAM%2F8wvUbcFwzVpjW6dyB1FkZA965hRfv0%2BR1H2srHNpNP82DZkwE0vGy3TZmLNjJNqf2M2zm%2Bf%2FnjciSVywifxjBx1T7xxhz0tXj8RxLOMQA7bXMvAsRfu0LXGI7A5CoK%2FAn%2Fj6ppdv2SXJ3z7lSI7odxAb1i5WUIMkiJvzN%2FU6vG9NsTkpenDzgW%2FTtZxDjqu%7Ctkp%3ABFBMyvnZ0P5n,https://www.ebay.com/b/Laptops-Netbooks/175672
Dell Latitude 5430 Laptop Computer PC Intel i5 Up To 32GB RAM 1TB SSD Windows 11,$237.36 to $574.02,https://www.ebay.com/itm/286393092388?itmmeta=01KZTGPFJV30SHNJGB2XBE8S38&hash=item42ae5bc924:g:0DgAAeSw9G5p5kZ6&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurMw426ChGgAEabzZZqBxmRZAq46hF7a7cDndhGa83q5L3C%2F1Mqcc8kmtvGmQS5ReBoLwMhkxjSsgKyZmAyiY8Q%2Bjg1fSTYu0ITrYf9%2Bbv74z32okFUpMLlun%2FhFDYg85M2pJ99xDBeaf7I5CggQcrx2UQH7POMny7NcYX372rjtIT0Q6qpchhGpD0iHZwDbE2cn3OtaxVAEEqf2DQAs1vDknvosMw3IxfnjuIK2LhadrJbei%2F4eFDpt5e8AC2udcuU0u5PEe%2FTrmtaPfdn%2Bq%2BR%7Ctkp%3ABFBMyvnZ0P5n&var=588498748801,https://www.ebay.com/b/Laptops-Netbooks/175672
Dell Latitude 15.6” FHD Core i5 Laptop PC Up To 32GB RAM 1TB SSD Windows 11,$250.73 to $382.48,https://www.ebay.com/itm/256879744174?itmmeta=01KZTGPFJVQYHDNTPYRBCFHDX9&hash=item3bcf39d4ae:g:kSsAAeSw0r5pZ8WR&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqFIgxhhXZ7XH%2B1C1jWG10m0YAscumc0iOrbu9tBbrnEE7vC%2Fk1u3zCsQfDhzv%2BOXruC5xuYwsMR%2BoqdmQDrS1%2FHGuXRFzy%2B1JzG%2BKKM2ElsW5ypb2nBistObNoPLQqXpzpbdQ%2Bg8p9sfmoZumzLjPzbbOP7bIIJGaI3Rx40pGIFvn8FCPe0fO9Xhal43DwAw1dX%2BklrsB1ay7s%2BDOAPuK%2FSF3qSO8h4GqqyGLdyPGpYeF318laE2YaK86ZQazj0ft%2BqEqotVHmYwos61gldM5y%7Ctkp%3ABFBMyvnZ0P5n&var=557422176900,https://www.ebay.com/b/Laptops-Netbooks/175672
HP EliteBook 840 G8 i5-1145G7 16GB RAM 256GB SSD Windows 11 Pro,$239.99,https://www.ebay.com/itm/366597491965?itmmeta=01KZTGPFJVCQ20YYYA4PG1AM69&hash=item555ae9ccfd:g:NdoAAeSwPQNqOVfG&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4Luq212tkR2muxsKpoNjKFnDRw0Fk5hFOsHW3Lf2i7m48qlcjM1ZItnWTPTX7Lk1ty%2FXId2vsE2h9QKhpHIUASvIHRPnh%2FE90y%2Bi6Pi%2F6ss%2FscOq3nY%2FRPbYI1nXldmB%2BhKfg%2FS40D138bp9Ijp%2FoubbKa3SfPXvvrU3i2nPVR0YT02v3jNMa5tdaH67gPP7RZVpROVuPXJPj7Ct2QGGZTgnZ6WMdA8OeCT%2BFxSU60rneog%3D%3D%7Ctkp%3ABk9SR8r52dD-Zw,https://www.ebay.com/b/Laptops-Netbooks/175672
"Dell Latitude 7320 13.3"" i7-1185G7 16GB 512GB SSD Win11 Pro Laptop",$264.99,https://www.ebay.com/itm/366583705779?itmmeta=01KZTGPFJVEW7VPD8654ZM28F2&hash=item555a1770b3:m:mreSDncYepeI3UFiM7wU1Vw&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4Lup%2FisS%2BqqAUvPy%2BsJ2TcMokqcE9joTSiTAeIMFFVUtvtMN34F31rcXaZCuT9mCjLjeBUcnsuEQCOABGoGNijDZuRbxfVOFhK95ezI6DadVv5ZxRjRTHUZqbEvVtfgBMOx3Akqyuv3Qs8%2F2kgtHGtJETHDj25Y%2F5E62vxbK3LBC1TKGGjQGrpwUdiOTSuJU31AmR24v6WYF3xakfM7MlpsD4547FmXUrkKFX7K%2FzF0xZoQ%3D%3D%7Ctkp%3ABk9SR8r52dD-Zw,https://www.ebay.com/b/Laptops-Netbooks/175672
"HP EliteBook x360 1040 G8 14"" 32GB 512GB, Silver",$399.99,https://www.ebay.com/itm/366567534769?itmmeta=01KZTGPFJVPWQC0YA5QZWHAYT2&hash=item555920b0b1:g:V44AAeSw2HBqHyzC&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4Lur5f9b9M2FvnCHsuBp3DpeB%2FSyTtADTnB8lBQnTffaSRcRf%2FRHWoyD87qUPGN385oPwIjef5QyXycuDmQzaOQRsOaUi3lsHAeJa9agyOZ81zyCRCVkNqEDBrBfqgMaJ%2BOg%2BvBn98gnf1kB%2FQErwekhWY%2BHy%2Fjcvo%2FOc7k5LYDiYQ6n2LbjjW%2F7AbAl9iS6VJ3sFLC3LOb%2B%2Fd5F66TZQrTbCaVsdCuH8fF3Fm%2FQFLDtgtQ%3D%3D%7Ctkp%3ABk9SR8r52dD-Zw,https://www.ebay.com/b/Laptops-Netbooks/175672
"New ListingApple MacBook Pro 16"" M4 Pro 24GB 512GB Laptop For Parts Only",$999.99,https://www.ebay.com/itm/377411820184?itmmeta=01KZTGPFJVJ2BV3SQWK035JTC3&hash=item57df7f5a98:g:tTAAAeSw4qpqe5mA&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuovXRfZI0uTasbcyBktWwf4bXlMvSFA2Jnx8%2FKGg5gYvxxU0e5ySCBncQFfnm3wCjsRNddrLxcHDiXEkEW3nN7yOEUu8wIhLSMOQZ568dwuRfRunHyT6j81xTYK3HbuRZqXqzfHqM1wgaU55AyPCOLxb%2F6yBjhJbk8P5MCb5cahZFzT6XsI7lMqvosJq1xebrtab%2FoluyuAjpZmxCu%2BpmX39p1OiJNal2ZUPSiORuaf5raKyN9lZDGR%2FA%2B%2F268%2BsigF%2BQ63YO11zEkHjwHbRed3%7Ctkp%3ABk9SR8r52dD-Zw,https://www.ebay.com/b/Laptops-Netbooks/175672
